id,label,in_scheme,notes_json
fhir_r4_observation:,Observation,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""object""}"
fhir_r4_observation:resourceType,resourceType,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string""}"
fhir_r4_observation:status,status,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string"", ""description"": ""The status of the result value.""}"
fhir_r4_observation:code,code,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""object"", ""description"": ""Type of observation (code / type)"", ""valueset_hint"": ""loinc""}"
fhir_r4_observation:code.coding,coding,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""array""}"
fhir_r4_observation:code.coding[],coding[],http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""object"", ""valueset_hint"": ""loinc""}"
fhir_r4_observation:code.coding[].system,system,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string""}"
fhir_r4_observation:code.coding[].code,code,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string""}"
fhir_r4_observation:code.coding[].display,display,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string""}"
fhir_r4_observation:subject,subject,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""object""}"
fhir_r4_observation:subject.reference,reference,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string""}"
fhir_r4_observation:effectiveDateTime,effectiveDateTime,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string""}"
fhir_r4_observation:valueString,valueString,http://ufsa.org/v2/standards/fhir_r4_observation,"{""type"": ""string""}"
